Data,Saldo_EUR,Valore_Crypto_EUR,Valore_Totale_EUR
2026-08-03,58.00,217.94,275.94
2026-08-04,70.31,209.73,280.04
2026-08-05,64.72,215.96,280.68
2026-08-06,97.10,185.92,283.01
2026-08-07,68.51,213.70,282.21
2026-08-08,79.68,203.79,283.47
2026-08-09,102.28,183.31,285.59
2026-08-10,96.27,189.01,285.28
2026-08-11,79.17,203.67,282.84
2026-08-12,39.36,244.49,283.86
2026-08-13,21.71,261.90,283.61
2026-08-14,21.71,262.72,284.43
2026-08-15,21.71,260.45,282.15
2026-08-16,21.71,260.61,282.32
2026-08-17,21.71,259.12,280.83
2026-08-18,15.99,269.49,285.48
2026-08-19,15.99,271.04,287.03
2026-08-20,111.60,204.44,316.03
2026-08-21,63.60,261.31,324.92
2026-08-22,183.80,153.80,337.59
2026-08-23,75.87,259.68,335.55
2026-08-24,55.29,285.96,341.26
2026-08-25,74.92,270.55,345.47
2026-08-26,33.03,309.16,342.19
2026-08-27,33.03,317.21,350.24
2026-08-28,53.58,300.07,353.65
2026-08-29,11.33,334.71,346.04
2026-08-30,11.33,337.21,348.54
2026-08-31,13.08,329.30,342.38
2026-09-01,24.39,323.32,347.70
2026-09-02,9.30,333.12,342.42
